Symbol,Entry Price,Entry Time,Exit Time,Exit Price,Closed Position,Profit
AMD,3.010416984558105,1980-05-27,1980-05-28,3.1458330154418945,1,0.09
AMD,5.270833015441895,1980-12-18,1980-12-19,4.958333015441895,-1,0.16
AMD,4.395833015441895,1981-03-24,1981-03-25,4.520833015441895,1,0.02
AMD,4.3541669845581055,1981-06-08,1981-06-09,4.2291669845581055,-1,0.02
AMD,3.125,1981-10-16,1981-10-21,3.291666984558105,1,0.13
AMD,2.8958330154418945,1981-11-20,1981-11-24,2.979166984558105,-1,-0.24
AMD,3.1875,1982-01-28,1982-01-29,3.2708330154418945,1,0.01
AMD,3.958333015441896,1982-06-01,1982-06-04,3.770833015441896,-1,0.11
AMD,4.2916669845581055,1982-07-15,1982-07-20,4.5,1,0.11
AMD,3.541666984558105,1982-08-12,1982-08-17,4.0,-1,-0.7
AMD,4.75,1982-08-27,1982-08-30,5.083333015441895,1,0.2
AMD,8.875,1983-03-18,1983-03-22,8.5,-1,0.07
AMD,9.625,1983-04-20,1983-04-22,9.25,1,-0.3
AMD,13.375,1983-08-09,1983-08-11,14.0,-1,-0.34
AMD,16.4375,1983-09-06,1983-09-07,16.0,1,-0.26
AMD,15.0,1983-10-31,1983-11-03,14.6875,-1,-0.04
AMD,16.75,1983-11-18,1983-11-23,16.3125,1,-0.25
AMD,14.5,1984-01-30,1984-02-01,14.1875,-1,-0.03
AMD,13.875,1984-04-06,1984-04-09,14.25,1,-0.01
AMD,15.8125,1984-05-31,1984-06-01,16.1875,-1,-0.24
AMD,16.0,1984-06-05,1984-06-06,16.5,1,0.0
AMD,14.25,1984-06-14,1984-06-15,14.6875,-1,-0.27
AMD,17.6875,1984-08-07,1984-08-08,17.3125,1,-0.23
AMD,16.5,1984-10-02,1984-10-03,17.25,-1,-0.34
AMD,14.3125,1985-01-07,1985-01-08,13.4375,1,-0.4
AMD,13.4375,1985-01-08,1985-01-09,14.1875,-1,-0.37
AMD,15.25,1985-01-11,1985-01-14,16.125,1,0.12
AMD,15.875,1985-03-07,1985-03-12,16.25,-1,-0.24
AMD,14.5,1985-07-18,1985-07-19,14.875,1,-0.02
AMD,13.25,1985-08-30,1985-09-09,13.5625,-1,-0.23
AMD,13.625,1985-11-19,1985-11-20,13.3125,1,-0.23
AMD,14.5,1986-01-17,1986-01-20,14.75,-1,-0.2
AMD,14.75,1986-01-20,1986-01-21,14.5,1,-0.21
AMD,14.5,1986-01-21,1986-01-22,14.0,-1,0.02
AMD,14.5625,1986-01-24,1986-01-27,14.125,1,-0.26
AMD,13.5625,1986-02-03,1986-02-04,14.0625,-1,-0.29
AMD,15.6875,1986-02-11,1986-02-20,16.125,1,-0.02
AMD,13.75,1986-04-01,1986-04-07,14.25,-1,-0.28
AMD,9.8125,1986-08-27,1986-09-02,9.4375,1,-0.29
AMD,7.875,1986-09-30,1986-10-02,7.375,-1,0.16
AMD,7.8125,1986-11-14,1986-11-18,7.4375,1,-0.33
AMD,7.1875,1986-12-18,1986-12-23,6.8125,-1,0.11
AMD,9.125,1987-01-15,1987-01-16,8.6875,1,-0.33
AMD,9.625,1987-03-30,1987-03-31,9.9375,-1,-0.26
AMD,11.5,1987-04-29,1987-04-30,11.0625,1,-0.29
AMD,10.5625,1987-05-27,1987-05-29,10.8125,-1,-0.22
AMD,10.5,1987-06-04,1987-06-09,10.875,1,0.03
AMD,10.375,1987-06-12,1987-06-15,10.125,-1,-0.02
AMD,10.25,1987-08-12,1987-08-14,10.0,1,-0.23
AMD,5.75,1987-10-19,1987-10-20,6.125,-1,-0.39
AMD,5.0,1987-12-30,1988-01-04,5.3125,1,0.15
AMD,4.4375,1988-01-20,1988-01-21,4.625,-1,-0.29
AMD,4.9375,1988-02-10,1988-02-11,5.125,1,0.04
AMD,6.8125,1988-07-19,1988-07-20,7.0625,-1,-0.27
AMD,4.3125,1988-12-27,1989-01-04,4.5,1,0.07
AMD,4.3125,1989-02-23,1989-02-24,4.1875,-1,0.01
AMD,4.5625,1989-04-11,1989-04-14,4.4375,1,-0.23
AMD,4.6875,1989-07-18,1989-07-20,4.5625,-1,0.0
AMD,4.3125,1989-09-26,1989-09-27,4.3125,1,-0.11
AMD,4.3125,1989-09-27,1989-09-28,4.5,-1,-0.29
AMD,4.5,1989-09-28,1989-10-02,4.375,1,-0.23
AMD,4.1875,1989-10-16,1989-10-25,4.0625,-1,0.02
AMD,3.8125,1989-12-21,1989-12-26,3.9375,1,0.02
AMD,3.8125,1990-01-17,1990-01-23,3.6875,-1,0.03
AMD,4.125,1990-02-28,1990-03-01,4.375,1,0.14
AMD,4.1875,1990-04-24,1990-04-26,4.3125,-1,-0.23
AMD,5.0625,1990-05-15,1990-05-17,5.25,1,0.04
AMD,4.625,1990-06-21,1990-06-22,4.5,-1,0.0
AMD,2.25,1990-12-06,1990-12-07,2.3125,1,0.01
AMD,6.0,1991-06-21,1991-06-24,5.75,-1,0.06
AMD,6.1875,1991-08-30,1991-09-03,6.0,1,-0.24
AMD,5.375,1991-09-18,1991-09-19,5.25,-1,-0.01
AMD,5.375,1991-10-23,1991-10-25,5.1875,1,-0.26
AMD,9.1875,1992-02-28,1992-03-03,8.9375,-1,-0.01
AMD,9.0,1992-05-12,1992-05-13,8.75,1,-0.24
AMD,7.75,1992-05-15,1992-05-18,7.5,-1,0.02
AMD,4.75,1992-08-26,1992-08-31,5.0625,1,0.16
AMD,11.5,1993-06-09,1993-06-10,11.125,-1,0.01
AMD,12.3125,1993-08-02,1993-08-04,12.9375,1,0.08
AMD,13.375,1993-10-04,1993-10-05,11.0,-1,0.61
AMD,9.75,1994-01-18,1994-01-20,9.375,1,-0.28
AMD,12.0,1994-04-20,1994-04-21,12.8125,-1,-0.4
AMD,14.5625,1994-06-02,1994-06-03,14.125,1,-0.26
AMD,12.1875,1994-06-24,1994-06-27,12.75,-1,-0.31
AMD,13.5,1994-07-11,1994-07-14,13.0,1,-0.28
AMD,12.9375,1994-07-21,1994-07-29,13.5,-1,-0.3
AMD,13.3125,1994-08-05,1994-08-09,13.8125,1,0.02
AMD,12.25,1994-10-06,1994-10-10,12.625,-1,-0.25
AMD,13.9375,1995-01-06,1995-01-09,14.4375,1,0.01
AMD,16.4375,1995-05-30,1995-06-01,16.9375,-1,-0.26
