Symbol,Entry Price,Entry Time,Exit Time,Exit Price,Closed Position,Profit
AMZN,0.1114580035209655,1997-07-25,1997-07-28,0.1161459982395172,1,0.09
AMZN,0.224479004740715,1997-11-21,1997-11-24,0.2114579975605011,-1,0.16
AMZN,0.2130209952592849,1997-11-26,1997-11-28,0.2062499970197677,1,-0.25
AMZN,0.3411459922790527,1998-05-26,1998-05-27,0.360938012599945,-1,-0.36
AMZN,0.4510419964790344,1998-06-10,1998-06-11,0.5208330154418945,1,0.59
AMZN,0.7322919964790344,1998-09-02,1998-09-03,0.715624988079071,-1,0.0
AMZN,0.8725259900093079,1998-10-05,1998-10-06,0.9026039838790894,1,0.05
AMZN,0.7598959803581238,1998-10-09,1998-10-12,0.7765629887580872,-1,-0.2
AMZN,0.9677079916000366,1998-10-23,1998-10-26,1.0119789838790894,1,0.1
AMZN,2.465625047683716,1999-02-16,1999-02-17,2.337500095367432,-1,0.13
AMZN,3.0374999046325684,1999-03-05,1999-03-09,3.2484378814697266,1,0.21
AMZN,3.709374904632568,1999-05-11,1999-05-12,3.5734379291534424,-1,0.06
AMZN,3.153125047683716,1999-07-13,1999-07-14,3.375,1,0.21
AMZN,2.539062976837158,1999-07-29,1999-08-02,2.3499999046325684,-1,0.24
AMZN,3.2140629291534424,1999-08-26,1999-08-30,2.981250047683716,1,-0.44
AMZN,3.246875047683716,1999-11-05,1999-11-08,3.900000095367432,-1,-1.03
AMZN,3.896874904632568,1999-11-18,1999-11-22,4.025000095367432,1,0.04
AMZN,3.278125047683716,2000-01-06,2000-01-07,3.478125095367432,-1,-0.38
AMZN,3.3125,2000-03-29,2000-04-03,3.1781249046325684,1,-0.29
AMZN,3.196875095367432,2000-04-04,2000-04-05,3.109375,-1,0.02
AMZN,1.96875,2000-08-24,2000-08-30,2.1468749046325684,1,0.3
AMZN,1.678125023841858,2000-10-05,2000-10-06,1.578125,-1,0.17
AMZN,1.693750023841858,2000-11-08,2000-11-09,1.5625,1,-0.46
AMZN,1.5625,2000-11-09,2000-11-10,1.5031249523162842,-1,0.07
AMZN,0.8270000219345093,2001-04-18,2001-04-19,0.7994999885559082,1,-0.26
AMZN,0.6244999766349792,2001-06-15,2001-06-18,0.5914999842643738,-1,0.14
AMZN,0.8245000243186951,2001-07-12,2001-07-13,0.8489999771118164,1,0.03
AMZN,0.612500011920929,2001-07-27,2001-07-30,0.6274999976158142,-1,-0.21
AMZN,0.4774999916553497,2001-10-23,2001-10-24,0.3819999992847442,1,-1.0
AMZN,0.3210000097751617,2001-10-30,2001-10-31,0.3490000069141388,-1,-0.49
AMZN,0.4474999904632568,2001-11-16,2001-11-19,0.4595000147819519,1,0.01
AMZN,0.6974999904632568,2002-04-08,2002-04-09,0.6800000071525574,-1,0.01
AMZN,0.8410000205039978,2002-04-25,2002-04-29,0.8090000152587891,1,-0.27
AMZN,0.7925000190734863,2002-06-26,2002-06-28,0.8125,-1,-0.21
AMZN,0.7285000085830688,2002-08-28,2002-08-29,0.7570000290870667,1,0.07
AMZN,0.9445000290870668,2002-12-31,2003-01-02,0.9785000085830688,-1,-0.26
AMZN,1.1085000038146973,2003-02-05,2003-02-07,1.0720000267028809,1,-0.25
AMZN,1.003000020980835,2003-02-13,2003-02-18,1.069499969482422,-1,-0.39
AMZN,1.100499987602234,2003-02-28,2003-03-06,1.1345000267028809,1,0.03
AMZN,2.4765000343322754,2003-11-19,2003-11-24,2.566499948501587,-1,-0.26
AMZN,2.65149998664856,2004-01-06,2004-01-07,2.595000028610229,1,-0.2
AMZN,2.2695000171661377,2004-02-04,2004-02-06,2.317500114440918,-1,-0.2
AMZN,2.2925000190734863,2004-04-07,2004-04-08,2.4049999713897705,1,0.1
AMZN,2.134999990463257,2004-05-11,2004-05-13,2.180500030517578,-1,-0.2
AMZN,2.5174999237060547,2004-06-02,2004-06-07,2.588000059127808,1,0.01
AMZN,2.23799991607666,2004-07-21,2004-07-22,2.29099988937378,-1,-0.21
AMZN,2.1635000705718994,2004-09-20,2004-09-22,2.069000005722046,1,-0.3
AMZN,1.9175000190734863,2004-10-20,2004-10-21,1.9735000133514404,-1,-0.23
AMZN,1.9275000095367432,2004-11-19,2004-11-30,1.9839999675750728,1,0.02
AMZN,1.7860000133514404,2005-02-04,2005-02-22,1.7359999418258667,-1,0.02
AMZN,1.7269999980926514,2005-05-16,2005-05-18,1.7664999961853027,1,-0.01
AMZN,1.6454999446868896,2005-07-01,2005-07-05,1.7039999961853027,-1,-0.26
AMZN,1.857499957084656,2005-07-15,2005-07-19,1.9084999561309808,1,0.01
AMZN,2.109499931335449,2005-09-23,2005-09-26,2.1670000553131104,-1,-0.22
AMZN,2.2244999408721924,2005-10-05,2005-10-11,2.1700000762939453,1,-0.21
AMZN,1.993000030517578,2005-10-31,2005-11-02,2.0374999046325684,-1,-0.2
AMZN,2.3989999294281006,2005-11-18,2005-12-01,2.450000047683716,1,-0.02
AMZN,2.220000028610229,2006-01-13,2006-02-02,2.13700008392334,-1,0.05
AMZN,1.81850004196167,2006-06-22,2006-06-29,1.9259999990463257,1,0.14
AMZN,1.7239999771118164,2006-07-19,2006-07-21,1.659500002861023,-1,0.06
AMZN,1.5859999656677246,2006-09-12,2006-09-15,1.6260000467300415,1,-0.0
AMZN,1.875,2007-01-08,2007-01-16,1.932999968528748,-1,-0.23
AMZN,2.006999969482422,2007-02-14,2007-02-20,2.075500011444092,1,0.04
AMZN,1.940500020980835,2007-03-12,2007-03-13,1.8910000324249268,-1,0.0
AMZN,1.9744999408721924,2007-03-22,2007-04-02,2.0209999084472656,1,-0.01
AMZN,4.363500118255615,2007-11-06,2007-11-08,4.178999900817871,-1,0.07
AMZN,4.7104997634887695,2007-12-06,2007-12-11,4.537499904632568,1,-0.27
AMZN,4.01200008392334,2008-01-15,2008-01-22,3.924000024795532,-1,-0.02
AMZN,3.565000057220459,2008-03-31,2008-04-01,3.8350000381469727,1,0.21
AMZN,3.680999994277954,2008-07-01,2008-07-02,3.572000026702881,-1,0.02
AMZN,3.955499887466431,2008-08-05,2008-08-07,3.847500085830689,1,-0.23
AMZN,3.57699990272522,2008-09-17,2008-09-18,3.825000047683716,-1,-0.4
AMZN,2.631500005722046,2008-12-16,2008-12-19,2.578000068664551,1,-0.19
AMZN,3.7820000648498535,2009-05-22,2009-05-26,3.919500112533569,-1,-0.26
AMZN,4.152500152587891,2009-06-01,2009-06-02,4.246500015258789,1,-0.02
AMZN,3.9049999713897705,2009-07-06,2009-07-07,3.7815001010894775,-1,0.02
AMZN,4.411499977111816,2009-07-20,2009-07-23,4.69350004196167,1,0.15
AMZN,4.138000011444092,2009-08-28,2009-08-31,4.059500217437744,-1,-0.03
AMZN,4.059500217437744,2009-08-31,2009-09-01,3.9579999446868896,1,-0.22
AMZN,3.9579999446868896,2009-09-01,2009-09-08,4.045000076293945,-1,-0.2
