Symbol,Entry Price,Entry Time,Exit Time,Exit Price,Closed Position,Profit
BABA,107.81594848632812,2014-11-28,2014-12-01,102.35948181152344,1,-0.54
BABA,100.05134582519533,2015-01-02,2015-01-05,97.54041290283205,-1,-0.18
BABA,85.37200164794922,2015-05-14,2015-05-20,87.59321594238281,1,-0.16
BABA,82.16572570800781,2015-06-23,2015-06-26,80.42738342285156,-1,-0.17
BABA,69.3212890625,2015-10-15,2015-10-21,67.1000747680664,1,-0.38
BABA,74.68119049072266,2016-01-06,2016-01-07,70.22909545898438,-1,0.02
BABA,69.94902801513672,2016-03-09,2016-03-11,71.47490692138672,1,-0.15
BABA,75.17371368408203,2016-06-07,2016-06-10,73.31948852539062,-1,-0.14
BABA,78.66972351074219,2016-07-11,2016-07-20,81.52832794189453,1,-0.1
BABA,95.13570404052734,2016-11-02,2016-11-10,91.10853576660156,-1,-0.1
BABA,92.61510467529295,2017-01-12,2017-01-23,95.03913116455078,1,-0.18
BABA,166.7168426513672,2017-12-06,2017-12-08,171.53590393066406,-1,-0.57
BABA,184.26446533203125,2018-01-09,2018-01-16,176.1521759033203,1,-0.66
BABA,180.3628387451172,2018-02-14,2018-02-23,186.66915893554688,-1,-0.62
BABA,186.66915893554688,2018-02-23,2018-02-27,181.8114624023437,1,-0.59
BABA,184.0230255126953,2018-03-09,2018-03-15,192.2415313720703,-1,-0.67
BABA,192.2415313720703,2018-03-15,2018-03-19,187.8666839599609,1,-0.58
BABA,171.52626037597656,2018-04-02,2018-04-04,166.176025390625,-1,-0.3
BABA,188.73585510253903,2018-05-09,2018-06-01,197.34066772460932,1,-0.3
BABA,179.97654724121094,2018-07-02,2018-07-06,185.68411254882807,-1,-0.6
BABA,151.10072326660156,2018-11-27,2018-11-30,155.35000610351562,1,-0.29
BABA,130.48202514648438,2018-12-20,2018-12-21,127.47854614257812,-1,-0.26
BABA,150.62750244140625,2019-01-17,2019-01-22,146.93833923339844,1,-0.5
BABA,168.85113525390625,2019-05-14,2019-05-17,163.76165771484375,-1,-0.31
BABA,169.44024658203125,2019-07-02,2019-07-08,162.68002319335938,1,-0.6
