Symbol,Entry Price,Entry Time,Exit Time,Exit Price,Closed Position,Profit
META,23.02368927001953,2012-07-30,2012-07-31,21.5915470123291,-1,0.14
META,20.50749397277832,2012-09-26,2012-09-28,21.541820526123047,1,0.08
META,19.373714447021484,2012-10-16,2012-10-17,19.771530151367188,-1,-0.23
META,21.82029151916504,2012-10-26,2012-10-31,20.99482154846192,1,-0.32
META,28.34449958801269,2013-02-14,2013-02-21,27.13115692138672,-1,0.04
META,28.15553855895996,2013-05-03,2013-05-06,27.419574737548828,1,-0.28
META,25.61944961547852,2013-05-20,2013-05-22,25.02272224426269,-1,-0.05
META,25.768630981445312,2013-07-12,2013-07-17,26.50459098815918,1,-0.03
META,48.44422912597656,2013-11-13,2013-11-18,45.57994842529297,-1,0.07
META,53.02907943725586,2013-12-13,2013-12-17,54.5606803894043,1,-0.08
META,59.91132354736328,2014-03-31,2014-04-01,62.27833938598633,-1,-0.4
META,63.48173904418945,2014-05-29,2014-06-06,62.15899658203125,1,-0.32
META,72.81056213378906,2014-10-15,2014-10-17,75.53559875488281,-1,-0.42
META,79.84198760986328,2014-10-27,2014-10-29,75.44610595703125,1,-0.5
META,75.18750762939453,2014-11-07,2014-11-19,72.92990112304688,-1,-0.12
META,76.42076110839844,2014-12-09,2014-12-16,74.28247833251953,1,-0.38
META,74.76981353759766,2015-01-16,2015-01-21,76.32129669189453,-1,-0.34
META,78.02195739746094,2015-02-24,2015-02-26,79.97128295898438,1,-0.15
META,78.3800048828125,2015-05-04,2015-05-14,80.92604064941406,-1,-0.4
META,81.71173095703125,2015-06-10,2015-06-22,84.27763366699219,1,-0.13
META,86.71427917480469,2015-08-26,2015-08-27,89.24043273925781,-1,-0.4
META,95.02867126464844,2015-09-21,2015-09-22,92.4527816772461,1,-0.41
META,90.45376586914062,2015-10-01,2015-10-05,93.49707794189452,-1,-0.43
META,93.7457046508789,2015-10-12,2015-10-16,97.00782012939452,1,-0.15
META,101.66227722167967,2016-01-04,2016-01-07,97.3857421875,-1,-0.12
META,112.07515716552734,2016-02-03,2016-02-05,103.50218200683594,1,-0.65
META,102.90545654296876,2016-02-18,2016-02-22,106.5753173828125,-1,-0.46
META,104.88459014892578,2016-02-23,2016-02-25,107.48035430908205,1,-0.21
META,112.7514419555664,2016-06-20,2016-06-27,108.3754425048828,-1,-0.16
META,118.7187042236328,2016-07-18,2016-07-20,121.2547836303711,1,-0.25
META,121.4835433959961,2016-11-07,2016-11-11,118.37060546875,-1,-0.23
META,125.40203857421876,2017-01-11,2017-01-23,128.2265167236328,1,-0.26
META,167.80938720703125,2017-09-28,2017-10-06,171.29026794433594,-1,-0.53
META,170.65377807617188,2017-10-10,2017-10-17,175.1491241455078,1,-0.34
META,175.99447631835938,2017-12-12,2017-12-15,179.19691467285156,-1,-0.53
META,179.19691467285156,2017-12-15,2017-12-26,175.02976989746094,1,-0.55
META,178.54049682617188,2018-02-14,2018-02-23,182.2899627685547,-1,-0.55
META,184.0801239013672,2018-03-16,2018-03-19,171.6184844970703,1,-0.73
META,167.2325439453125,2018-03-20,2018-03-23,158.5203399658203,-1,-0.22
META,175.6464080810547,2018-05-04,2018-05-09,181.6633758544922,1,-0.32
META,170.7134552001953,2018-08-01,2018-08-02,175.40769958496094,-1,-0.56
META,148.13731384277344,2019-01-15,2019-01-23,143.5126953125,1,-0.52
META,163.25436401367188,2019-06-03,2019-06-04,166.58612060546875,-1,-0.51
META,190.0971069335937,2019-06-21,2019-07-02,193.93605041503903,1,-0.41
META,186.8250732421875,2019-08-09,2019-08-14,178.72947692871094,-1,-0.3
META,188.72463989257807,2019-10-21,2019-10-22,181.3451232910156,1,-0.62
META,209.61004638671875,2020-02-12,2020-02-14,213.0113983154297,-1,-0.58
META,213.0113983154297,2020-02-14,2020-02-24,199.62484741210932,1,-0.76
META,195.69639587402344,2020-02-25,2020-02-27,188.7147216796875,-1,-0.35
META,184.11990356445312,2020-04-23,2020-04-24,189.0329742431641,1,-0.38
META,247.66131591796875,2020-09-23,2020-09-25,253.4296875,-1,-0.69
META,277.209228515625,2020-10-21,2020-10-23,283.23614501953125,1,-0.58
META,271.3016052246094,2020-12-21,2020-12-22,265.6326904296875,-1,-0.56
META,272.0773620605469,2021-02-17,2021-02-19,260.1329040527344,1,-0.8
META,253.3003845214844,2021-02-25,2021-03-01,263.4646301269531,-1,-0.76
META,277.7561950683594,2021-03-16,2021-03-19,288.527099609375,1,-0.53
META,351.0341796875,2021-09-24,2021-09-28,338.7914123535156,-1,-0.67
META,339.1494140625,2021-11-22,2021-11-26,331.30242919921875,1,-0.85
META,308.69647216796875,2021-12-02,2021-12-06,316.1356506347656,-1,-0.81
META,331.96881103515625,2021-12-17,2021-12-20,323.6743469238281,1,-0.84
META,324.6986999511719,2022-01-13,2022-01-18,316.4140930175781,-1,-0.65
META,222.08164978027344,2022-04-06,2022-04-11,215.2789764404297,1,-0.64
META,183.10548400878903,2022-04-22,2022-04-27,173.9954376220703,-1,-0.29
